Tip Matrice,Tip alocare,Nr threads,Timp executie
,,4,0
,,4,54.1
,,4,52.9
,,4,52.4
,,1,51.2
,,4,52.2
,,4,48
,,2,48
,,2,48
,,2,150.0615
,,1,282.1766
,,4,79.1482
,,8,50.1326
,,16,38.0475
,,4,0.8499
,,1,0.0138
,,1,30.1999
,,2,18.2959
,,4,13.6299
,,8,9.5598
,,16,8.5994
,,1,31.5943
,,2,27.1482
,,4,10.4384
,,8,9.4481
,,16,7.4679
,,2,14.9084
,,4,10.0886
,,8,9.6606
,,16,7.3736
,,2,0
,,2,20.1865
,,4,10.5081
,,8,9.1192
,,16,7.4613
,,2,150.6762
,,4,84.4026
,,8,47.1349
,,16,33.0212
,,4,0.9586
,,2,0.6845
,,1,0.0095
,,1,0.001
,,4,1.0296
,,1,0.001
,,1,20.9372
,,2,12.9472
,,4,9.0322
,,8,7.3909
,,16,9.7597
,,1,1.821
,,2,2.0711
,,4,1.9159
,,8,2.4612
,,16,2.3218
,,1,1.7928
,,2,1.9533
,,4,2.1826
,,8,2.0532
,,16,3.3734
,,16,2.911
,,1,2.1524
,,8,2.3333
,,4,2.6372
,,2,2.3205
,,1,2.0383
,,2,2.0956
,,4,1.9564
,,8,2.1167
,,16,2.6593
,,1,20.5589
,,2,14.3366
,,4,13.6151
,,8,9.9833
,,16,5.918
,,4,0.8432
,,1,0.0011
