Tip Matrice,Nr threads,Timp executie
,4,48
,1,48
,1,48
,1,1.08843
,4,2.10549
,1,0
,1,0
,1,0
,1,50.40044
,2,30.14395
,4,29.29572
,8,35.78455
,16,47.96198
,1,15.19837
,2,31.89962
,4,42.08639
,8,49.32039
,16,55.21341
,1,11.81005
,2,14.61903
,4,15.81678
,8,36.12427
,16,74.40223
,1,0.90434
,4,3.35134
,1,50.28778
,2,28.05491
,4,28.40409
,8,37.95376
,16,64.28347
,1,14.8008
,2,37.3226
,4,48.10156
,8,67.36615
,16,94.65076
,1,11.30548
,2,13.10694
,4,16.96604
,8,44.81716
,16,64.03897
,4,28.39603
,8,37.64624
,16,61.77309
,1,13.44719
,2,40.88759
,4,43.07526
,8,65.98847
,16,95.25518
,1,19.2012
,2,14.75461
,4,23.84698
,8,40.26069
,16,51.20566
